,F1-M,F1-M_p-value,F1-D,F1-D_p-value,F2a-M,F2a-M_p-value,F2b-M,F2b-M_p-value,F3-M,F3-M_p-value,F4-M,F4-M_p-value,F,F_p-value,A1-D,A1-D_p-value,A1-M,A1-M_p-value,A1.2,A1.2_p-value,A2-M,A2-M_p-value,A,A_p-value,I1-D,I1-D_p-value,I1-M,I1-M_p-value,I2,I2_p-value,I3-D,I3-D_p-value,I,I_p-value,R1.1,R1.1_p-value,R1.2,R1.2_p-value,R1.3-D,R1.3-D_p-value,R1.3-M,R1.3-M_p-value,R,R_p-value,FAIR,FAIR_p-value
F1-M,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1-D,,,1.0,***,,,0.07,,-0.02,,,,0.32,***,0.45,***,,,0.63,***,,,0.48,***,,,0.47,***,0.24,***,0.03,,0.45,***,0.14,,,,,,0.47,***,0.32,***,0.35,***
F2a-M,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2b-M,,,0.07,,,,1.0,***,0.12,,,,0.95,***,0.26,***,,,0.07,,,,0.25,***,,,0.18,*,0.27,***,0.02,,0.18,**,0.78,***,,,,,0.18,*,0.71,***,0.83,***
F3-M,,,-0.02,,,,0.12,,1.0,***,,,0.13,,-0.04,,,,-0.02,,,,-0.04,,,,-0.02,,-0.01,,0.01,,-0.02,,0.05,,,,,,-0.02,,0.03,,0.08,
F4-M,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,,0.32,***,,,0.95,***,0.13,,,,1.0,***,0.36,***,,,0.23,**,,,0.35,***,,,0.26,***,0.28,***,0.03,,0.26,***,0.78,***,,,,,0.26,***,0.74,***,0.87,***
A1-D,,,0.45,***,,,0.26,***,-0.04,,,,0.36,***,1.0,***,,,0.72,***,,,1.0,***,,,0.62,***,0.28,***,-0.17,*,0.5,***,0.22,**,,,,,0.62,***,0.45,***,0.61,***
A1-M,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1.2,,,0.63,***,,,0.07,,-0.02,,,,0.23,**,0.72,***,,,1.0,***,,,0.76,***,,,0.79,***,0.23,**,-0.05,,0.69,***,0.22,**,,,,,0.79,***,0.52,***,0.54,***
A2-M,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,
A,,,0.48,***,,,0.25,***,-0.04,,,,0.35,***,1.0,***,,,0.76,***,,,1.0,***,,,0.66,***,0.28,***,-0.16,*,0.53,***,0.22,**,,,,,0.66,***,0.47,***,0.62,***
I1-D,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,
I1-M,,,0.47,***,,,0.18,*,-0.02,,,,0.26,***,0.62,***,,,0.79,***,,,0.66,***,,,1.0,***,0.51,***,-0.05,,0.9,***,0.22,**,,,,,1.0,***,0.61,***,0.55,***
I2,,,0.24,***,,,0.27,***,-0.01,,,,0.28,***,0.28,***,,,0.23,**,,,0.28,***,,,0.51,***,1.0,***,0.03,,0.52,***,0.11,,,,,,0.51,***,0.31,***,0.28,***
I3-D,,,0.03,,,,0.02,,0.01,,,,0.03,,-0.17,*,,,-0.05,,,,-0.16,*,,,-0.05,,0.03,,1.0,***,0.39,***,-0.1,,,,,,-0.05,,-0.1,,-0.02,
I,,,0.45,***,,,0.18,**,-0.02,,,,0.26,***,0.5,***,,,0.69,***,,,0.53,***,,,0.9,***,0.52,***,0.39,***,1.0,***,0.16,*,,,,,0.9,***,0.52,***,0.5,***
R1.1,,,0.14,,,,0.78,***,0.05,,,,0.78,***,0.22,**,,,0.22,**,,,0.22,**,,,0.22,**,0.11,,-0.1,,0.16,*,1.0,***,,,,,0.22,**,0.91,***,0.81,***
R1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,
R1.3-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,
R1.3-M,,,0.47,***,,,0.18,*,-0.02,,,,0.26,***,0.62,***,,,0.79,***,,,0.66,***,,,1.0,***,0.51,***,-0.05,,0.9,***,0.22,**,,,,,1.0,***,0.61,***,0.55,***
R,,,0.32,***,,,0.71,***,0.03,,,,0.74,***,0.45,***,,,0.52,***,,,0.47,***,,,0.61,***,0.31,***,-0.1,,0.52,***,0.91,***,,,,,0.61,***,1.0,***,0.89,***
FAIR,,,0.35,***,,,0.83,***,0.08,,,,0.87,***,0.61,***,,,0.54,***,,,0.62,***,,,0.55,***,0.28,***,-0.02,,0.5,***,0.81,***,,,,,0.55,***,0.89,***,1.0,***
